trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.4, 'e': 0.6840588853375833}",30,0,-96.60062390797478,"{0: 21, 1: 0, 2: 7, 3: 1, 4: 1}",0
43,False,"{'a': 0.4, 'e': 0.677902355369545}",30,9,3.429063314596178,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 0}",1
44,False,"{'a': 0.4, 'e': 0.6718012341712191}",25,0,-25.347552337533966,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
45,False,"{'a': 0.4, 'e': 0.6657550230636781}",25,0,-44.99818206198179,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
46,False,"{'a': 0.4, 'e': 0.659763227856105}",25,14,-2.172858185448832,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
47,False,"{'a': 0.4, 'e': 0.6538253588054}",20,0,-52.96464520808305,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
48,False,"{'a': 0.4, 'e': 0.6479409305761514}",20,0,-31.459770362840516,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
49,False,"{'a': 0.4, 'e': 0.6421094622009661}",20,7,-10.702204445234582,"{0: 9, 1: 3, 2: 1, 3: 0, 4: 0}",1
50,False,"{'a': 0.4, 'e': 0.6363304770411574}",20,11,-51.56976942757574,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 1}",1
51,False,"{'a': 0.4, 'e': 0.630603502747787}",20,0,-51.266287146380684,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
52,False,"{'a': 0.4, 'e': 0.6249280712230569}",25,3,-68.9737878241076,"{0: 15, 1: 3, 2: 2, 3: 1, 4: 1}",1
53,False,"{'a': 0.4, 'e': 0.6193037185820495}",25,0,-125.50256707937312,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
54,False,"{'a': 0.4, 'e': 0.613729985114811}",25,0,-160.2319732427105,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
55,False,"{'a': 0.4, 'e': 0.6082064152487777}",25,11,-9.920421427792167,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
56,False,"{'a': 0.4, 'e': 0.6027325575115388}",30,0,-91.04391753180774,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
57,False,"{'a': 0.4, 'e': 0.5973079644939349}",30,8,-74.20672875287693,"{0: 15, 1: 1, 2: 5, 3: 0, 4: 1}",1
58,False,"{'a': 0.4, 'e': 0.5919321928134894}",20,0,-95.66757047735535,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
59,False,"{'a': 0.4, 'e': 0.586604803078168}",20,0,-69.8936691523357,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
60,False,"{'a': 0.4, 'e': 0.5813253598504645}",25,14,6.299383499837628,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
61,False,"{'a': 0.4, 'e': 0.5760934316118104}",20,0,-79.66558727778417,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
62,False,"{'a': 0.4, 'e': 0.570908590727304}",20,0,26.57106746245479,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
63,False,"{'a': 0.4, 'e': 0.5657704134107583}",30,0,-79.95060854040352,"{0: 19, 1: 3, 2: 7, 3: 1, 4: 0}",0
64,False,"{'a': 0.4, 'e': 0.5606784796900615}",30,0,-128.55356404783282,"{0: 20, 1: 2, 2: 6, 3: 0, 4: 2}",0
65,False,"{'a': 0.4, 'e': 0.5556323733728509}",25,19,-0.8586952731212834,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
66,False,"{'a': 0.4, 'e': 0.5506316820124952}",25,1,-87.88273909450959,"{0: 17, 1: 3, 2: 2, 3: 0, 4: 2}",1
67,False,"{'a': 0.4, 'e': 0.5456759968743827}",20,0,-81.76330345766728,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
68,False,"{'a': 0.4, 'e': 0.5407649129025133}",20,0,-0.8980360756874035,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
69,False,"{'a': 0.4, 'e': 0.5358980286863907}",25,0,-35.90273899838323,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
70,False,"{'a': 0.4, 'e': 0.5310749464282132}",30,22,1.6009761230635757,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.4, 'e': 0.5262952719103593}",20,0,-71.10966127228396,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 1}",0
72,False,"{'a': 0.4, 'e': 0.5215586144631661}",30,20,-6.356357640045071,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
73,False,"{'a': 0.4, 'e': 0.5168645869329976}",25,8,-39.091049333899164,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
74,False,"{'a': 0.4, 'e': 0.5122128056506007}",25,5,5.072828146095752,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",1
75,False,"{'a': 0.4, 'e': 0.5076028903997453}",20,13,-2.217473462352014,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
76,False,"{'a': 0.4, 'e': 0.5030344643861475}",25,13,8.542013200456353,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
77,False,"{'a': 0.4, 'e': 0.4985071542066722}",35,17,-22.710137753279678,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 0}",1
78,False,"{'a': 0.4, 'e': 0.49402058981881214}",20,0,-107.30695234625605,"{0: 14, 1: 0, 2: 2, 3: 3, 4: 1}",0
79,False,"{'a': 0.4, 'e': 0.4895744045104428}",25,19,9.664785929812943,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.4, 'e': 0.48516823486984884}",20,0,-122.89143765853956,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
81,False,"{'a': 0.4, 'e': 0.4808017207560202}",30,18,21.564180888734885,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.4, 'e': 0.476474505269216}",20,0,-71.10587188809171,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
83,False,"{'a': 0.4, 'e': 0.47218623472179305}",35,15,-71.13284071151476,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",1
84,False,"{'a': 0.4, 'e': 0.4679365586092969}",30,12,-147.20097142992498,"{0: 11, 1: 1, 2: 2, 3: 1, 4: 3}",1
85,False,"{'a': 0.4, 'e': 0.4637251295818132}",30,21,19.15639524020553,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.4, 'e': 0.4595516034155769}",30,14,21.502306908627975,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.4, 'e': 0.45541563898483667}",25,15,7.125932943875338,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
88,False,"{'a': 0.4, 'e': 0.45131689823397314}",20,11,-19.538350759641872,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
89,False,"{'a': 0.4, 'e': 0.4472550461498674}",30,0,-49.46761336820256,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 1}",0
90,False,"{'a': 0.4, 'e': 0.4432297507345186}",20,2,-20.19032512313144,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 0}",1
91,False,"{'a': 0.4, 'e': 0.4392406829779079}",25,6,-11.681802627966643,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 0}",1
92,False,"{'a': 0.4, 'e': 0.4352875168311067}",20,9,-2.9154651455146623,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
93,False,"{'a': 0.4, 'e': 0.43136992917962674}",30,15,-39.90496543370316,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
94,False,"{'a': 0.4, 'e': 0.4274875998170101}",30,0,-25.187202085543653,"{0: 24, 1: 2, 2: 3, 3: 1, 4: 0}",0
95,False,"{'a': 0.4, 'e': 0.42364021141865704}",25,11,-36.03356907651255,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
96,False,"{'a': 0.4, 'e': 0.41982744951588913}",30,0,-9.35770935159342,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
97,False,"{'a': 0.4, 'e': 0.4160490024702461}",25,14,-32.96013265892855,"{0: 7, 1: 1, 2: 2, 3: 1, 4: 0}",1
98,False,"{'a': 0.4, 'e': 0.4123045614480139}",25,0,8.262691652190641,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
99,False,"{'a': 0.4, 'e': 0.40859382039498177}",25,12,7.567935481875252,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.4, 'e': 0.40491647601142694}",20,13,-11.503504918336946,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
101,False,"{'a': 0.4, 'e': 0.40127222772732407}",20,10,13.413188554714853,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.4, 'e': 0.39766077767777813}",20,6,-61.131996270734376,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 2}",1
103,False,"{'a': 0.4, 'e': 0.39408183067867814}",25,10,-61.90856763071383,"{0: 9, 1: 0, 2: 4, 3: 2, 4: 0}",1
104,False,"{'a': 0.4, 'e': 0.39053509420257004}",25,0,-7.3452727254187185,"{0: 21, 1: 2, 2: 1, 3: 1, 4: 0}",0
105,False,"{'a': 0.4, 'e': 0.3870202783547469}",25,0,6.4498446876118045,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
106,False,"{'a': 0.4, 'e': 0.3835370958495542}",25,15,-3.8864522680281697,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
107,False,"{'a': 0.4, 'e': 0.38008526198690823}",25,10,-30.942204995603298,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 1}",1
108,False,"{'a': 0.4, 'e': 0.37666449462902607}",20,14,-39.16817846372809,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 1}",1
109,False,"{'a': 0.4, 'e': 0.37327451417736485}",20,10,-30.101296822207185,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
110,False,"{'a': 0.4, 'e': 0.36991504354976856}",20,9,-45.897479540678304,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
111,False,"{'a': 0.4, 'e': 0.36658580815782066}",30,11,-49.12184925505586,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 1}",1
112,False,"{'a': 0.4, 'e': 0.3632865358844003}",25,11,8.667482309584196,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
113,False,"{'a': 0.4, 'e': 0.3600169570614407}",20,7,22.7322927223883,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.4, 'e': 0.35677680444788773}",20,0,4.383386408703647,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
115,False,"{'a': 0.4, 'e': 0.35356581320785674}",25,8,1.784152446436644,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
116,False,"{'a': 0.4, 'e': 0.350383720888986}",30,18,-3.1979484214182348,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
117,False,"{'a': 0.4, 'e': 0.3472302674009851}",25,14,-1.5220260313251788,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
118,False,"{'a': 0.4, 'e': 0.34410519499437625}",25,8,-16.884983385814916,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 0}",1
119,False,"{'a': 0.4, 'e': 0.3410082482394269}",25,0,-92.01538816921332,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 3}",0
120,False,"{'a': 0.4, 'e': 0.337939174005272}",25,11,-50.17671608560031,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 1}",1
121,False,"{'a': 0.4, 'e': 0.3348977214392246}",25,10,-58.5323788636119,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 2}",1
122,False,"{'a': 0.4, 'e': 0.33188364194627157}",25,0,-101.73321846883412,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
123,False,"{'a': 0.4, 'e': 0.32889668916875514}",20,0,-30.003686876871555,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",1
124,False,"{'a': 0.4, 'e': 0.3259366189662363}",20,10,-10.552984298324452,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",1
