trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
96,False,"{'a': 0.5, 'e': 0.5199999999999996}",25,8,-38.49564677332056,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
97,False,"{'a': 0.5, 'e': 0.5149999999999996}",20,4,-19.96646504334263,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
98,False,"{'a': 0.5, 'e': 0.5099999999999996}",20,9,5.584604322874143,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.5049999999999996}",20,12,-41.84974523827922,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
100,False,"{'a': 0.5, 'e': 0.49999999999999956}",30,0,-190.85930776351407,"{0: 18, 1: 4, 2: 3, 3: 2, 4: 3}",0
101,False,"{'a': 0.5, 'e': 0.49499999999999955}",30,0,-87.35006718579476,"{0: 24, 1: 1, 2: 3, 3: 0, 4: 2}",0
102,False,"{'a': 0.5, 'e': 0.48999999999999955}",20,11,-28.948660029932043,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
103,False,"{'a': 0.5, 'e': 0.48499999999999954}",20,9,-4.60287877847915,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.47999999999999954}",25,0,-24.01335145189582,"{0: 18, 1: 5, 2: 2, 3: 0, 4: 0}",0
105,False,"{'a': 0.5, 'e': 0.47499999999999953}",20,0,7.27635558214688,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
106,False,"{'a': 0.5, 'e': 0.46999999999999953}",20,0,-39.536111570763,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
107,False,"{'a': 0.5, 'e': 0.4649999999999995}",20,4,-178.83576098220783,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 4}",1
108,False,"{'a': 0.5, 'e': 0.4599999999999995}",25,15,16.97347395166512,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.4549999999999995}",25,10,9.973760073137058,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.4499999999999995}",20,6,-167.75586402020437,"{0: 5, 1: 2, 2: 3, 3: 1, 4: 3}",1
111,False,"{'a': 0.5, 'e': 0.4449999999999995}",20,14,11.180888062628439,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.4399999999999995}",20,10,-19.307085682994565,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.4349999999999995}",20,10,7.013830148156667,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.4299999999999995}",30,19,10.06676391354597,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.4249999999999995}",20,8,-31.15038581737869,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
116,False,"{'a': 0.5, 'e': 0.4199999999999995}",20,7,17.294570306728744,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.4149999999999995}",30,19,7.790574301125673,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.4099999999999995}",20,1,17.915336193536096,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.40499999999999947}",25,12,-57.39957806769327,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 1}",1
120,False,"{'a': 0.5, 'e': 0.39999999999999947}",25,0,-57.197800306776564,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
121,False,"{'a': 0.5, 'e': 0.39499999999999946}",25,17,-13.378299726523865,"{0: 6, 1: 1, 2: 0, 3: 1, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.38999999999999946}",30,20,-1.7709504784388794,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.38499999999999945}",20,10,8.887822572896479,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.37999999999999945}",25,4,26.853895381820017,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.37499999999999944}",25,17,5.913020211457338,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.36999999999999944}",20,4,-46.761026715607684,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
127,False,"{'a': 0.5, 'e': 0.36499999999999944}",20,6,12.778273734888645,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
