trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
73,False,"{'a': 0.4, 'e': 0.5168645869329976}",30,8,-92.89250048511201,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 2}",1
74,False,"{'a': 0.4, 'e': 0.5122128056506007}",25,17,-0.04546188749887081,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
75,False,"{'a': 0.4, 'e': 0.5076028903997453}",25,0,-85.85684395097893,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
76,False,"{'a': 0.4, 'e': 0.5030344643861475}",20,9,-35.04579710245452,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 1}",1
77,False,"{'a': 0.4, 'e': 0.4985071542066722}",20,13,17.502464583014188,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.4, 'e': 0.49402058981881214}",20,9,13.161466514640583,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.4, 'e': 0.4895744045104428}",25,14,-30.182907062184565,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
80,False,"{'a': 0.4, 'e': 0.48516823486984884}",30,19,-47.600786174960795,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
81,False,"{'a': 0.4, 'e': 0.4808017207560202}",30,20,-22.104667656959624,"{0: 8, 1: 0, 2: 0, 3: 2, 4: 0}",1
82,False,"{'a': 0.4, 'e': 0.476474505269216}",20,0,-16.22421119651211,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
83,False,"{'a': 0.4, 'e': 0.47218623472179305}",20,0,-69.50350673818389,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
84,False,"{'a': 0.4, 'e': 0.4679365586092969}",30,19,9.819001280972339,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.4, 'e': 0.4637251295818132}",25,8,-39.16517243912414,"{0: 13, 1: 0, 2: 2, 3: 2, 4: 0}",1
86,False,"{'a': 0.4, 'e': 0.4595516034155769}",25,0,-28.496287283928016,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
87,False,"{'a': 0.4, 'e': 0.45541563898483667}",25,0,-49.451281696215986,"{0: 19, 1: 2, 2: 2, 3: 2, 4: 0}",0
88,False,"{'a': 0.4, 'e': 0.45131689823397314}",25,0,-5.884295440327717,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
89,False,"{'a': 0.4, 'e': 0.4472550461498674}",20,9,-24.42301440783879,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
90,False,"{'a': 0.4, 'e': 0.4432297507345186}",30,4,-77.77634111824777,"{0: 20, 1: 1, 2: 2, 3: 2, 4: 1}",1
91,False,"{'a': 0.4, 'e': 0.4392406829779079}",25,16,18.621493760752408,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.4, 'e': 0.4352875168311067}",20,8,-5.053728578388014,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
93,False,"{'a': 0.4, 'e': 0.43136992917962674}",25,3,20.53722514382885,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
94,False,"{'a': 0.4, 'e': 0.4274875998170101}",25,16,4.608903427583909,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
95,False,"{'a': 0.4, 'e': 0.42364021141865704}",30,5,-34.21926788668017,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",1
96,False,"{'a': 0.4, 'e': 0.41982744951588913}",30,0,-6.62440332544714,"{0: 26, 1: 2, 2: 1, 3: 1, 4: 0}",0
97,False,"{'a': 0.4, 'e': 0.4160490024702461}",20,8,18.281796059581037,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.4, 'e': 0.4123045614480139}",20,12,11.924562925604238,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.4, 'e': 0.40859382039498177}",20,11,-26.839365261752878,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
100,False,"{'a': 0.4, 'e': 0.40491647601142694}",25,9,-49.80867423622218,"{0: 11, 1: 1, 2: 2, 3: 2, 4: 0}",1
101,False,"{'a': 0.4, 'e': 0.40127222772732407}",25,16,11.348731322672036,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.4, 'e': 0.39766077767777813}",20,0,-36.96815964451416,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
103,False,"{'a': 0.4, 'e': 0.39408183067867814}",25,12,26.421853995643307,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.4, 'e': 0.39053509420257004}",35,19,10.23977738431801,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
105,False,"{'a': 0.4, 'e': 0.3870202783547469}",35,11,4.062155129551308,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 0}",1
106,False,"{'a': 0.4, 'e': 0.3835370958495542}",25,12,9.411252301513462,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.4, 'e': 0.38008526198690823}",25,0,-161.31253751374643,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
108,False,"{'a': 0.4, 'e': 0.37666449462902607}",20,3,5.512058942089547,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
109,False,"{'a': 0.4, 'e': 0.37327451417736485}",35,11,-0.7783906916134784,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 0}",1
110,False,"{'a': 0.4, 'e': 0.36991504354976856}",20,12,14.973058784170775,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.4, 'e': 0.36658580815782066}",20,14,11.989141542382722,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.4, 'e': 0.3632865358844003}",30,18,14.985680116388231,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.4, 'e': 0.3600169570614407}",20,0,-49.32868022900581,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
114,False,"{'a': 0.4, 'e': 0.35677680444788773}",35,0,-63.850084530226574,"{0: 31, 1: 1, 2: 0, 3: 1, 4: 2}",0
115,False,"{'a': 0.4, 'e': 0.35356581320785674}",20,6,-39.16028777187926,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
116,False,"{'a': 0.4, 'e': 0.350383720888986}",25,0,-105.47531343353148,"{0: 17, 1: 1, 2: 3, 3: 3, 4: 1}",0
117,False,"{'a': 0.4, 'e': 0.3472302674009851}",20,0,-14.526191688278391,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
118,False,"{'a': 0.4, 'e': 0.34410519499437625}",25,11,-27.729242760095023,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
119,False,"{'a': 0.4, 'e': 0.3410082482394269}",25,3,-50.29726170926742,"{0: 18, 1: 1, 2: 1, 3: 1, 4: 1}",1
120,False,"{'a': 0.4, 'e': 0.337939174005272}",30,3,16.73526856015807,"{0: 25, 1: 0, 2: 2, 3: 0, 4: 0}",1
121,False,"{'a': 0.4, 'e': 0.3348977214392246}",20,11,15.698970139528374,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.4, 'e': 0.33188364194627157}",30,0,-0.5053299576302601,"{0: 27, 1: 0, 2: 2, 3: 1, 4: 0}",0
123,False,"{'a': 0.4, 'e': 0.32889668916875514}",25,15,-7.396829290827805,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
124,False,"{'a': 0.4, 'e': 0.3259366189662363}",20,12,-35.74185745858576,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 1}",1
125,False,"{'a': 0.4, 'e': 0.3230031893955402}",25,12,-60.17413564482972,"{0: 8, 1: 0, 2: 3, 3: 2, 4: 0}",1
126,False,"{'a': 0.4, 'e': 0.3200961606909803}",30,16,18.254786951762103,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.4, 'e': 0.31721529524476144}",20,0,-26.57221768504314,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
128,False,"{'a': 0.4, 'e': 0.3143603575875586}",25,0,9.463031901439798,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
129,False,"{'a': 0.4, 'e': 0.31153111436927056}",20,7,26.848387938042286,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.4, 'e': 0.30872733433994715}",30,16,9.481972584575237,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
131,False,"{'a': 0.4, 'e': 0.3059487883308876}",20,0,-29.228678093435274,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
132,False,"{'a': 0.4, 'e': 0.3031952492359096}",20,10,20.34123586201756,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.4, 'e': 0.3004664919927864}",20,0,28.385470275382467,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
134,False,"{'a': 0.4, 'e': 0.29776229356485134}",35,21,-26.75259518925971,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
135,False,"{'a': 0.4, 'e': 0.2950824329227677}",25,11,-29.674045662714096,"{0: 9, 1: 1, 2: 4, 3: 0, 4: 0}",1
136,False,"{'a': 0.4, 'e': 0.2924266910264628}",35,25,-26.565632682949705,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
137,False,"{'a': 0.4, 'e': 0.2897948508072246}",30,12,16.51517731927825,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.4, 'e': 0.2871866971499596}",20,0,-26.994085874637733,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
139,False,"{'a': 0.4, 'e': 0.28460201687560993}",35,24,-22.876091009351484,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
140,False,"{'a': 0.4, 'e': 0.28204059872372944}",20,11,-86.9227238502822,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 2}",1
