trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 0.7}",30,0,-124.39669140598404,"{0: 20, 1: 2, 2: 6, 3: 0, 4: 2}",0
2,False,"{'a': 0.9, 'e': 0.7}",30,0,-64.9710121338808,"{0: 25, 1: 1, 2: 1, 3: 2, 4: 1}",0
3,False,"{'a': 0.9, 'e': 0.7}",20,0,-85.2203248548608,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
4,False,"{'a': 0.9, 'e': 0.7}",20,0,-73.909387048739,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
5,False,"{'a': 0.9, 'e': 0.7}",30,0,-27.856366881041765,"{0: 25, 1: 1, 2: 3, 3: 1, 4: 0}",0
6,False,"{'a': 0.9, 'e': 0.7}",25,0,-40.66761952452041,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
7,False,"{'a': 0.9, 'e': 0.7}",20,0,-39.33604061676704,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
8,False,"{'a': 0.9, 'e': 0.7}",20,0,1.1909912263214797,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
9,False,"{'a': 0.9, 'e': 0.7}",25,0,-83.03790524048368,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
10,False,"{'a': 0.9, 'e': 0.7}",30,0,-268.4519334558416,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 5}",0
11,False,"{'a': 0.9, 'e': 0.7}",30,0,-74.70591135220751,"{0: 23, 1: 2, 2: 3, 3: 1, 4: 1}",0
12,False,"{'a': 0.9, 'e': 0.7}",20,0,-113.61314080508524,"{0: 13, 1: 1, 2: 2, 3: 3, 4: 1}",0
13,False,"{'a': 0.9, 'e': 0.7}",25,0,-98.81983674701031,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
14,False,"{'a': 0.9, 'e': 0.7}",20,0,-122.07412161484504,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
15,False,"{'a': 0.9, 'e': 0.7}",30,0,-152.50871898039802,"{0: 19, 1: 3, 2: 4, 3: 2, 4: 2}",0
16,False,"{'a': 0.9, 'e': 0.7}",25,15,-57.646723666217696,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 1}",1
